fixture,group,weight,factor,kendall_tau,top1_hit_rate,top3_hit_rate,top5_hit_rate,top10_hit_rate,baseline_size,perturbed_size,baseline_saturated_dp_count,perturbed_saturated_dp_count
02-agent,cleanliness,cohesion,0.250000,1.000000,1.000000,1.000000,1.000000,1.000000,0,0,0,0
02-agent,cleanliness,cohesion,0.500000,1.000000,1.000000,1.000000,1.000000,1.000000,0,0,0,0
02-agent,cleanliness,cohesion,0.750000,1.000000,1.000000,1.000000,1.000000,1.000000,0,0,0,0
02-agent,cleanliness,cohesion,1.250000,1.000000,1.000000,1.000000,1.000000,1.000000,0,0,0,0
02-agent,cleanliness,cohesion,1.500000,1.000000,1.000000,1.000000,1.000000,1.000000,0,0,0,0
02-agent,cleanliness,cohesion,2.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0,0,0,0
02-agent,cleanliness,cohesion,4.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0,0,0,0
02-agent,cleanliness,cohesion,10.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0,0,0,0
03-agent,process,gain,0.100000,1.000000,1.000000,1.000000,1.000000,1.000000,3,3,0,0
03-agent,process,gain,0.250000,1.000000,1.000000,1.000000,1.000000,1.000000,3,3,0,0
03-agent,process,gain,0.500000,1.000000,1.000000,1.000000,1.000000,1.000000,3,3,0,0
03-agent,process,gain,0.750000,1.000000,1.000000,1.000000,1.000000,1.000000,3,3,0,0
03-agent,process,gain,1.250000,1.000000,1.000000,1.000000,1.000000,1.000000,3,3,0,0
03-agent,process,gain,1.500000,1.000000,1.000000,1.000000,1.000000,1.000000,3,3,0,0
03-agent,process,gain,2.000000,1.000000,1.000000,1.000000,1.000000,1.000000,3,3,0,0
03-agent,process,gain,4.000000,0.333333,1.000000,1.000000,1.000000,1.000000,3,3,0,1
03-agent,process,gain,10.000000,-0.333333,0.000000,1.000000,1.000000,1.000000,3,3,0,3
03-agent,process,broken,0.100000,-0.333333,0.000000,1.000000,1.000000,1.000000,3,3,0,0
03-agent,process,broken,0.250000,0.333333,1.000000,1.000000,1.000000,1.000000,3,3,0,0
03-agent,process,broken,0.500000,1.000000,1.000000,1.000000,1.000000,1.000000,3,3,0,0
