fixture,variant,active_count,kendall_tau,top5_hit_rate,baseline_size,perturbed_size,baseline_saturated_dp_count,perturbed_saturated_dp_count,baseline_total_abs_magnitude,perturbed_total_abs_magnitude,magnitude_recovery_fraction,mean_abs_magnitude_delta,max_abs_magnitude_delta
01-agent,skipTests+manualIde+commitGap,3,-1.000000,1.000000,3,3,3,0,0.000000,8.000000,0.000000,2.666667,4.000000
01-agent,gain+skipTests+manualIde+commitGap,4,1.000000,1.000000,3,3,3,3,0.000000,0.000000,1.000000,0.000000,0.000000
01-agent,broken+skipTests+manualIde+commitGap,4,-1.000000,1.000000,3,3,3,0,0.000000,3.000000,0.000000,1.000000,2.000000
01-agent,gain+broken+skipTests+manualIde+commitGap,5,1.000000,1.000000,3,3,3,3,0.000000,0.000000,1.000000,0.000000,0.000000
01-agent,length+commitGap,2,1.000000,1.000000,3,3,3,0,0.000000,0.000000,1.000000,0.000000,0.000000
01-agent,gain+length+commitGap,3,1.000000,1.000000,3,3,3,3,0.000000,0.000000,1.000000,0.000000,0.000000
01-agent,broken+length+commitGap,3,-1.000000,1.000000,3,3,3,0,0.000000,5.000000,0.000000,1.666667,4.000000
01-agent,gain+broken+length+commitGap,4,1.000000,1.000000,3,3,3,3,0.000000,0.000000,1.000000,0.000000,0.000000
01-agent,skipTests+length+commitGap,3,1.000000,1.000000,3,3,3,0,0.000000,0.000000,1.000000,0.000000,0.000000
01-agent,gain+skipTests+length+commitGap,4,1.000000,1.000000,3,3,3,3,0.000000,0.000000,1.000000,0.000000,0.000000
01-agent,broken+skipTests+length+commitGap,4,-1.000000,1.000000,3,3,3,0,0.000000,5.000000,0.000000,1.666667,4.000000
01-agent,gain+broken+skipTests+length+commitGap,5,1.000000,1.000000,3,3,3,3,0.000000,0.000000,1.000000,0.000000,0.000000
01-agent,manualIde+length+commitGap,3,-1.000000,1.000000,3,3,3,0,0.000000,8.000000,0.000000,2.666667,4.000000
01-agent,gain+manualIde+length+commitGap,4,1.000000,1.000000,3,3,3,3,0.000000,0.000000,1.000000,0.000000,0.000000
01-agent,broken+manualIde+length+commitGap,4,-1.000000,1.000000,3,3,3,0,0.000000,3.000000,0.000000,1.000000,2.000000
01-agent,gain+broken+manualIde+length+commitGap,5,1.000000,1.000000,3,3,3,3,0.000000,0.000000,1.000000,0.000000,0.000000
01-agent,skipTests+manualIde+length+commitGap,4,-1.000000,1.000000,3,3,3,0,0.000000,8.000000,0.000000,2.666667,4.000000
01-agent,gain+skipTests+manualIde+length+commitGap,5,1.000000,1.000000,3,3,3,3,0.000000,0.000000,1.000000,0.000000,0.000000
01-agent,broken+skipTests+manualIde+length+commitGap,5,-1.000000,1.000000,3,3,3,0,0.000000,3.000000,0.000000,1.000000,2.000000
